Date,Platform,Spend,Clicks
2026-04-01,Google,77.93,558
2026-04-02,Meta,98.46,626
2026-04-03,Meta,92.55,686
2026-04-04,Meta,26.72,518
2026-04-05,Meta,89.35,266
2026-04-06,Meta,40.81,415
2026-04-07,Meta,56.38,425
2026-04-08,Google,42.26,511
2026-04-09,Google,86.79,561
2026-04-10,Meta,79.92,133
2026-04-11,Google,37.94,150
2026-04-12,Meta,80.34,333
2026-04-13,Meta,87.14,716
2026-04-14,Meta,39.08,564
2026-04-15,Meta,65.12,303
2026-04-16,Google,75.96,865
2026-04-17,Google,33.42,701
2026-04-18,Meta,82.22,247
2026-04-19,Google,28.65,106
2026-04-20,Google,66.06,464
2026-04-21,Google,95.32,283
2026-04-22,Meta,67.37,722
2026-04-23,Meta,28.15,871
2026-04-24,Google,88.02,694
2026-04-25,Meta,83.7,659
2026-04-26,Meta,47.78,518
2026-04-27,Google,25.52,743
2026-04-28,Google,21.01,510
2026-04-29,Google,28.44,450
2026-04-30,Google,76.58,525
