Order ID,Date,Product SKU,Quantity,Gross Sales,Discounts,Customer City
#1001,01-04-2026,SKU-C303,1,78.96,2.7,Hyderabad
#1002,01-04-2026,SKU-B202,4,219.36,43.41,Jaipur
#1003,01-04-2026,SKU-B202,3,310.5,48.19,Hyderabad
#1004,01-04-2026,SKU-A101,3,171.36,2.27,Lucknow
#1005,02-04-2026,SKU-C303,2,167.64,13.26,Ahmedabad
#1006,02-04-2026,SKU-B202,3,88.98,13.26,Jaipur
#1007,02-04-2026,SKU-C303,5,299.95,35.01,Pune
#1008,03-04-2026,SKU-B202,2,137,2.49,Mumbai
#1009,03-04-2026,SKU-A101,2,161.76,25.63,Kolkata
#1010,03-04-2026,SKU-E505,1,55.4,6.6,Ahmedabad
#1011,03-04-2026,SKU-E505,3,350.88,60.41,Mumbai
#1012,03-04-2026,SKU-A101,5,469.2,72.13,Pune
#1013,03-04-2026,SKU-A101,3,181.95,16.51,Chennai
#1014,04-04-2026,SKU-E505,2,136.62,2.91,Chennai
#1015,04-04-2026,SKU-E505,5,179.45,13.42,Bengaluru
#1016,04-04-2026,SKU-E505,5,557.2,66.75,Ahmedabad
#1017,04-04-2026,SKU-A101,1,112.56,19.78,Chennai
#1018,04-04-2026,SKU-B202,1,40.29,4.57,Delhi
#1019,04-04-2026,SKU-A101,4,402.72,78.77,Jaipur
#1020,05-04-2026,SKU-B202,2,168.54,31.92,Bengaluru
#1021,05-04-2026,SKU-C303,5,533.05,45.11,Hyderabad
#1022,06-04-2026,SKU-E505,2,179.72,14.34,Pune
#1023,06-04-2026,SKU-D404,5,312.05,15.47,Delhi
#1024,07-04-2026,SKU-C303,1,76.77,3.53,Hyderabad
#1025,07-04-2026,SKU-A101,1,89.32,1.05,Delhi
#1026,07-04-2026,SKU-A101,3,67.32,3.2,Ahmedabad
#1027,07-04-2026,SKU-B202,5,144.45,27.03,Lucknow
#1028,07-04-2026,SKU-E505,4,162.04,15.33,Kolkata
#1029,08-04-2026,SKU-B202,1,25.18,2.17,Kolkata
#1030,08-04-2026,SKU-D404,4,422.8,4.58,Delhi
#1031,08-04-2026,SKU-A101,4,365.84,58.58,Delhi
#1032,08-04-2026,SKU-B202,2,69.94,6.28,Kolkata
#1033,08-04-2026,SKU-B202,3,190.74,33.36,Delhi
#1034,08-04-2026,SKU-D404,5,126.4,16.49,Jaipur
#1035,09-04-2026,SKU-A101,1,112.27,19.06,Bengaluru
#1036,09-04-2026,SKU-D404,4,262.16,45.34,Mumbai
#1037,09-04-2026,SKU-B202,4,60.92,4.76,Ahmedabad
#1038,09-04-2026,SKU-C303,4,352.56,51.51,Jaipur
#1039,09-04-2026,SKU-D404,2,69.88,3.04,Mumbai
#1040,10-04-2026,SKU-E505,5,107,6.71,Mumbai
#1041,10-04-2026,SKU-E505,4,271.2,46.25,Bengaluru
#1042,11-04-2026,SKU-A101,5,117.05,4.35,Lucknow
#1043,11-04-2026,SKU-A101,2,114.8,21.62,Lucknow
#1044,12-04-2026,SKU-B202,5,387.1,47.95,Kolkata
#1045,12-04-2026,SKU-E505,5,349.45,65.33,Hyderabad
#1046,12-04-2026,SKU-C303,2,85.78,2.25,Chennai
#1047,12-04-2026,SKU-D404,3,337.65,63.19,Mumbai
#1048,12-04-2026,SKU-D404,5,599.2,119.37,Delhi
#1049,12-04-2026,SKU-E505,2,136.24,3.61,Pune
#1050,13-04-2026,SKU-A101,2,107.6,3.39,Jaipur
#1051,13-04-2026,SKU-C303,5,591.5,95.48,Jaipur
#1052,13-04-2026,SKU-A101,5,232.15,30.8,Bengaluru
#1053,14-04-2026,SKU-C303,1,108.42,16.1,Bengaluru
#1054,14-04-2026,SKU-C303,3,235.53,33.8,Hyderabad
#1055,14-04-2026,SKU-C303,5,331.5,60.02,Mumbai
#1056,15-04-2026,SKU-A101,4,408.32,3.6,Pune
#1057,15-04-2026,SKU-B202,3,95.91,8.48,Kolkata
#1058,15-04-2026,SKU-E505,1,26.75,5.06,Bengaluru
#1059,17-04-2026,SKU-E505,1,102.63,11.96,Bengaluru
#1060,18-04-2026,SKU-D404,2,38.78,2.83,Mumbai
#1061,18-04-2026,SKU-C303,2,173.24,23.11,Pune
#1062,18-04-2026,SKU-E505,4,469,70.3,Hyderabad
#1063,18-04-2026,SKU-B202,2,215.1,1.07,Pune
#1064,18-04-2026,SKU-D404,2,86.02,13.55,Delhi
#1065,19-04-2026,SKU-D404,1,105.15,4.68,Ahmedabad
#1066,19-04-2026,SKU-C303,3,303.48,52.89,Hyderabad
#1067,19-04-2026,SKU-A101,2,113.68,6.33,Delhi
#1068,20-04-2026,SKU-C303,3,247.08,19.75,Jaipur
#1069,20-04-2026,SKU-C303,1,27.11,5.26,Bengaluru
#1070,20-04-2026,SKU-E505,3,57.06,6.81,Pune
#1071,21-04-2026,SKU-C303,4,314.6,32.18,Kolkata
#1072,21-04-2026,SKU-E505,2,83.5,11.84,Mumbai
#1073,21-04-2026,SKU-E505,5,435.6,81.92,Hyderabad
#1074,21-04-2026,SKU-C303,4,89.4,11.88,Pune
#1075,22-04-2026,SKU-E505,3,253.98,6.33,Chennai
#1076,22-04-2026,SKU-E505,3,255.06,16.64,Chennai
#1077,23-04-2026,SKU-E505,2,70.28,9.35,Kolkata
#1078,23-04-2026,SKU-B202,5,373.8,30.36,Mumbai
#1079,23-04-2026,SKU-C303,3,111.21,17.48,Lucknow
#1080,23-04-2026,SKU-C303,4,245.56,33.18,Jaipur
#1081,24-04-2026,SKU-D404,2,168.36,9.56,Lucknow
#1082,24-04-2026,SKU-C303,1,100.93,15.16,Chennai
#1083,24-04-2026,SKU-B202,2,60.94,0.56,Ahmedabad
