Order ID,Date,Product SKU,Quantity,Gross Sales,Discounts,Customer City
#1101,2026-05-03,SKU-B202,3,304.02,52.38,Hyderabad
#1102,2026-05-03,SKU-B202,4,337.44,57.36,Pune
#1103,2026-05-05,SKU-A101,5,430.6,7.56,Pune
#1104,2026-05-06,SKU-D404,1,43.29,0.07,Hyderabad
#1105,2026-05-07,SKU-C303,5,117.45,12.18,Hyderabad
#1106,2026-05-07,SKU-E505,4,470.2,33.62,Hyderabad
#1107,2026-05-08,SKU-B202,4,310.08,60.95,Jaipur
#1108,2026-05-08,SKU-B202,1,26.53,0.91,Kolkata
#1109,2026-05-09,SKU-A101,4,325.44,9.3,Lucknow
#1110,2026-05-13,SKU-A101,4,198.48,20.78,Hyderabad
#1111,2026-05-13,SKU-A101,2,123.02,13.42,Bengaluru
#1112,2026-05-13,SKU-C303,4,447.32,11.71,Lucknow
#1113,2026-05-14,SKU-B202,5,569.15,14.16,Delhi
#1114,2026-05-16,SKU-B202,3,99.84,3.55,Bengaluru
#1115,2026-05-17,SKU-B202,5,242.55,24.21,Hyderabad
#1116,2026-05-18,SKU-C303,1,105.08,7.6,Delhi
#1117,2026-05-19,SKU-E505,3,48.51,8.08,Pune
#1118,2026-05-20,SKU-B202,4,227.64,37.44,Kolkata
#1119,2026-05-20,SKU-D404,4,401.76,42.94,Bengaluru
#1120,2026-05-20,SKU-A101,3,272.31,21.71,Ahmedabad
