Order ID,Carrier,Shipping Fee
#1001,BlueDart,12.34
#1002,Delhivery,11.16
#1003,Delhivery,9.65
#1004,Delhivery,8.22
#1005,BlueDart,13.31
#1006,BlueDart,7.79
#1007,Delhivery,7.44
#1008,Delhivery,10.7
#1009,Delhivery,8.36
#1010,Delhivery,13.51
#1011,BlueDart,9.88
#1012,Delhivery,12.98
#1013,Delhivery,7.8
#1014,Delhivery,10.56
#1015,BlueDart,5.86
#1016,Delhivery,9.89
#1017,BlueDart,11.91
#1018,Delhivery,9.48
#1019,BlueDart,5.93
#1020,BlueDart,9.04
#1021,BlueDart,8.06
#1022,Delhivery,9.73
#1023,Delhivery,9.26
#1024,Delhivery,8.52
#1025,Delhivery,7.71
#1026,Delhivery,7.31
#1027,BlueDart,8.16
#1028,BlueDart,6.92
#1029,Delhivery,7.76
#1030,Delhivery,14.81
#1031,BlueDart,7.96
#1032,Delhivery,6.79
#1033,BlueDart,12.08
#1034,BlueDart,7.74
#1035,BlueDart,10.53
#1036,BlueDart,11.38
#1037,Delhivery,6.03
#1038,BlueDart,10.74
#1039,Delhivery,9.79
#1040,Delhivery,6.84
#1041,BlueDart,7.52
#1042,Delhivery,6.14
#1043,BlueDart,9.01
#1044,BlueDart,10.77
#1045,BlueDart,6.52
#1046,Delhivery,5.85
#1047,BlueDart,6.18
#1048,Delhivery,11.06
#1049,BlueDart,12.76
#1050,Delhivery,9.51
#1051,Delhivery,7.97
#1052,Delhivery,8.05
#1053,BlueDart,11.1
#1054,BlueDart,14.48
#1055,BlueDart,11.26
#1056,Delhivery,11.6
#1057,BlueDart,7.4
#1058,BlueDart,6.57
#1059,Delhivery,9.51
#1060,Delhivery,7.91
#1061,BlueDart,7.88
#1062,Delhivery,12.03
#1063,Delhivery,5.71
#1064,BlueDart,14.24
#1065,BlueDart,9.25
#1066,BlueDart,11.48
#1067,Delhivery,13.27
#1068,BlueDart,5.6
#1069,Delhivery,10.95
#1070,Delhivery,9.39
#1071,Delhivery,11.89
#1072,Delhivery,14.43
#1073,Delhivery,9.38
#1074,BlueDart,13.89
#1075,Delhivery,11.04
#1076,BlueDart,5.91
#1077,BlueDart,15
#1078,Delhivery,10.76
#1079,BlueDart,9.71
#1080,Delhivery,14.16
#1081,BlueDart,14.97
#1082,Delhivery,11.35
#1083,Delhivery,14.69
#1084,Delhivery,8.48
#1085,Delhivery,8.21
#1086,BlueDart,13.58
#1087,Delhivery,9.12
#1088,Delhivery,7.88
#1089,Delhivery,13.14
#1090,BlueDart,9.55
#1091,Delhivery,7.52
#1092,BlueDart,14.7
#1093,Delhivery,13.65
#1094,BlueDart,11.58
#1095,Delhivery,9.13
#1096,BlueDart,10.18
#1097,Delhivery,11.25
#1098,BlueDart,7.04
#1099,BlueDart,14.28
#1100,Delhivery,13.81
